clip_id,take_folder,ground_truth,task_start,task_end,answer,predicted,correct
74a4d595-cc2e-4c3b-a83f-e7e7a364d463,uniandes_bouldering_036_35,Expert,0.8,18.6,Novice,Novice,False
4210c02d-1555-44d9-bd3c-a3a7069c09fc,uniandes_bouldering_029_89,Novice,0.4,13.4,Novice,Novice,True
5d486d41-7b7b-427a-b204-21308ce879d7,uniandes_bouldering_027_50,Novice,0.6,12.3,Novice,Novice,True
0592f9f4-6db3-46ff-b969-a330ad2a233c,uniandes_bouldering_027_59,Novice,0.9,18.8,Novice,Novice,True
9f596c0c-2beb-45c9-a484-a21af02018d9,uniandes_bouldering_036_49,Expert,0.3,4.2,Novice,Novice,False
9f7cd016-662c-4f3a-9fb5-9bc41a5b87bb,uniandes_bouldering_036_14,Expert,0.7,40.2,Novice,Novice,False
41fd1849-a1e5-4e6a-bea7-466cbf7d7819,uniandes_bouldering_027_27,Novice,0.9,10.1,Novice,Novice,True
4f9adb11-6c34-4b76-ba70-19c6ad3a6156,uniandes_bouldering_030_28,Expert,3.1,24.1,Novice,Novice,False
b36d3912-538f-423f-9c79-82abc183a50b,uniandes_bouldering_037_20,Expert,0.4,61.4,Novice,Novice,False
26191a7e-dece-46ce-ba75-d1f3dcc9d604,uniandes_bouldering_037_56,Expert,0.6,34.2,Novice,Novice,False
a698521a-4384-4829-bda1-5a29bb3782f1,uniandes_bouldering_037_55,Expert,0.5,37.5,Novice,Novice,False
75286d45-1251-421a-90cb-3f0212443244,uniandes_bouldering_036_8,Expert,0.0,45.6,Novice,Novice,False
91049560-0506-479a-b216-fa6086dd3e11,uniandes_bouldering_029_58,Novice,0.8,36.1,Novice,Novice,True
00f50674-1f3c-4847-ab4a-fa2f0f113987,uniandes_bouldering_022_33,Novice,0.4,16.2,Novice,Novice,True
d8d2b81e-19a4-453e-aea9-6dccee022f4e,uniandes_bouldering_031_47,Expert,1.0,49.7,Novice,Novice,False
2915318c-1440-4a50-aced-d39ddc433ffd,uniandes_bouldering_030_26,Expert,0.6,15.5,Novice,Novice,False
e8f2df2e-5d2d-4352-b06c-95554b1ecdb3,uniandes_bouldering_031_68,Expert,1.8,61.3,Novice,Novice,False
