clip_id,take_name,ground_truth,answer,predicted,correct
c1ad1d9f-16f4-4bac-87da-e943ba0905eb,uniandes_bouldering_035_50,Early Expert,"Based on the commentary, the climber appears to be at an intermediate expert skill level. The commentary mentions that the climber is re-sequencing the climb and using a trick to sequence with foot placements, which are signs",Intermediate Expert,False
c0a1397c-211b-4d12-9706-ca536a671f77,uniandes_bouldering_032_32,Late Expert,"Based on the commentary, the climber is described as having ""a lot of experience"" and ""a lot of skill."" This suggests that the climber is likely an intermediate or late expert in bouldering.",Late Expert,True
4608b4d3-de77-4635-8aa9-bed1495af6f5,uniandes_bouldering_027_82,Novice,Novice,Novice,True
74a4d595-cc2e-4c3b-a83f-e7e7a364d463,uniandes_bouldering_036_35,Late Expert,Novice,Novice,False
103eefc6-4c85-4d2f-877a-c56458767c63,uniandes_bouldering_036_12,Intermediate Expert,Intermediate Expert,Intermediate Expert,True
9289524b-3d24-43ec-8212-6ea1f78198ca,uniandes_bouldering_037_43,Intermediate Expert,Novice,Novice,False
b003c594-e2fd-42e6-830c-daea009b00a2,uniandes_bouldering_036_37,Late Expert,Intermediate Expert,Intermediate Expert,False
87bb136c-debd-4fb0-9b71-dfc91706ab64,uniandes_bouldering_028_29,Novice,"Based on the commentary, it seems that the climber is at an intermediate skill level. The commentary mentions that the climber is able to make the jump move to the right hand hold, but is struggling to hold the position and is bare",Unknown,False
75797b8e-5022-4de5-97bc-557263d97e1c,uniandes_bouldering_035_42,Early Expert,Novice,Novice,False
7982e8f8-1441-4a1b-be66-4c558c5be3f3,uniandes_bouldering_027_117,Novice,Novice,Novice,True
fdbd51f1-b270-4a4c-b3c5-7b660d647cc1,uniandes_bouldering_033_57,Intermediate Expert,"Based on the commentary, the climber appears to be at an intermediate expert skill level. The commentary mentions that the climber is sequencing out the problem and pantomiming the movements with their hands, which are indicative of an",Intermediate Expert,True
db638d99-3d8b-4711-859a-49603a690407,uniandes_bouldering_027_80,Novice,"Based on the commentary, it seems that the climber is at an intermediate skill level. The commentary mentions that the climber is able to generate momentum and make it to the hold, but also that they lose some of that momentum by hes",Unknown,False
e0d398e3-a18c-4436-8e7d-a69520039921,uniandes_bouldering_037_48,Late Expert,"Based on the commentary, the climber appears to be at an intermediate skill level. They are able to reach the next move but struggle to maintain enough pin strength to hold it, and their right leg flags on this move. They are able to",Unknown,False
0f81a059-34c3-4085-9dbf-ae5084fba4fd,uniandes_bouldering_029_32,Intermediate Expert,"Based on the commentary, the climber appears to be at an intermediate skill level. The climber is able to establish on the problem and make the first move easily, but is hesitant to engage in the next big move. The",Unknown,False
bb83f061-fc92-4a37-901a-4330484d501f,uniandes_bouldering_035_90,Early Expert,Novice,Novice,False
94acdc8f-1377-4dbc-94e6-efcfa08ca8ba,uniandes_bouldering_034_17,Early Expert,Novice,Novice,False
107939d1-f064-4d8b-8c7d-3e6da17a236e,uniandes_bouldering_035_40,Early Expert,Intermediate Expert,Intermediate Expert,False
b92ce368-7af4-4fe2-a4e1-72d19847ff6f,uniandes_bouldering_034_31,Early Expert,"Based on the commentary, the climber appears to be at an intermediate expert skill level. The commentator is providing specific feedback on the climber's technique, suggesting that they have some experience and knowledge of bouldering. However, the",Intermediate Expert,False
d49055ea-5b89-48d1-a234-5fcda3f6fc9f,uniandes_bouldering_032_57,Intermediate Expert,Novice,Novice,False
e3d84441-d0b8-4b77-96e2-4b1c5e0ae85a,uniandes_bouldering_029_10,Early Expert,"Based on the commentary, it seems that the climber is at an intermediate expert skill level. The commentator is providing specific feedback on the climber's technique, suggesting that the climber has some experience and knowledge of proper climbing techniques",Intermediate Expert,False
53b52ea1-d45a-428e-989a-0afbd8914588,uniandes_bouldering_032_2,Late Expert,"Based on the commentary, the climber is described as being one move in on the boulder, which suggests that they have some experience and skill in bouldering. However, the commentary also notes that the boulder is not",Unknown,False
a3a35dce-1056-48d7-975b-2680fc06f584,uniandes_bouldering_035_38,Early Expert,"Based on the commentary, it seems that the climber is at an intermediate skill level. The commentary mentions that the climber is ""gassed"" and ""falling on easy moves,"" which suggests that they are not at the top",Unknown,False
0fe91c8e-46e4-48d4-9ff6-c63c9c7689dc,uniandes_bouldering_027_118,Novice,Novice,Novice,True
824fc1aa-353c-4a0e-9657-a7eca24abe76,uniandes_bouldering_027_81,Novice,"Based on the commentary, the climber is described as a ""bouldering climber"" and is attempting a move on a wall. The commentary mentions that the climber is in a good position to make the move and that they are",Unknown,False
c1006a7f-e818-4ab5-abeb-085c92a31f4c,uniandes_bouldering_029_93,Early Expert,Novice,Novice,False
c8dbedf6-61ec-497f-b57e-ee270238da13,uniandes_bouldering_031_69,Late Expert,Novice,Novice,False
f045b6e4-b1b3-4371-82a1-e6a08ce22a4c,uniandes_bouldering_027_25,Novice,"Based on the commentary, the climber is described as a ""bouldering climber"" and is attempting a ""first move."" The commentary also mentions that the climber is able to ""sag their hips down before pressing with",Unknown,False
550ce8bc-dcd8-450c-ab76-6dad0ce957dc,uniandes_bouldering_028_3,Intermediate Expert,Intermediate Expert,Intermediate Expert,True
ea188e15-10c3-467d-b8f9-602d5aed498a,uniandes_bouldering_029_88,Novice,"Based on the commentary, it seems that the climber is at an intermediate expert skill level. The commentary mentions that the climber is attempting a complex start position and is falling while trying to cross under into a jug. This suggests that the",Intermediate Expert,False
12351533-12ab-4b85-89b1-c7527240202b,uniandes_bouldering_028_12,Novice,"Based on the commentary, the climber appears to be at an intermediate expert skill level. The commentary mentions that the climber is in the right position to make the move, has a strong start, and is using good technique. However,",Intermediate Expert,False
3df9cef1-ec0c-4056-90a4-e24ecb0175b6,uniandes_bouldering_028_22,Intermediate Expert,"Based on the commentary, it seems that the climber is at an intermediate expert skill level. The commentator notes that the climber has attempted the move four or five times and is not getting high enough, indicating that they have some experience and",Intermediate Expert,True
434c1776-61b6-42cb-b101-5032260f1787,uniandes_bouldering_036_45,Late Expert,Novice,Novice,False
6c99cd92-315b-42a5-a725-452d5d5661f4,uniandes_bouldering_034_92,Early Expert,"Based on the commentary, it seems that the climber is at an intermediate expert skill level. The commentator is providing specific feedback on the climber's foot movements and positioning, suggesting that the climber has some experience and knowledge of",Intermediate Expert,False
c714b768-a8ac-49f3-b08c-977cbd9580e6,uniandes_bouldering_036_33,Late Expert,Intermediate Expert,Intermediate Expert,False
cea9b606-6e9c-49ac-9d1c-b906a9ea94be,uniandes_bouldering_036_15,Late Expert,Intermediate Expert,Intermediate Expert,False
1855e141-61f2-4329-bf6f-d199aefb8acd,uniandes_bouldering_035_13,Early Expert,"Based on the commentary, the climber appears to be at an intermediate skill level. The commentator notes that the climber is making some mistakes, such as not keeping enough weight and tension through their feet, and relying too much on",Unknown,False
d96f1562-436f-4eda-847e-971b4f332fb5,uniandes_bouldering_033_59,Intermediate Expert,Novice,Novice,False
48f9a165-f935-4de3-9c33-ccb4006c138a,uniandes_bouldering_036_56,Intermediate Expert,"Based on the commentary, it seems that the climber is at an intermediate skill level. The commentator notes that the climber is forgetting to use their push foot on an opening move, which suggests that they may not be fully experienced or",Unknown,False
4b0fd835-3caf-43ee-83bf-79a28d2bf2ad,uniandes_bouldering_034_29,Early Expert,"Based on the commentary, the climber appears to be at an intermediate expert skill level. The commentary mentions that the climber is able to execute a bucket heel hook, switch their feet and drop the knee in, and lock the",Intermediate Expert,False
