clip_id,take_folder,ground_truth,answer,predicted,correct
9d4d860c-72b1-4e97-9241-d23e3a3cd476,uniandes_bouldering_022_47,Novice,Intermediate Expert,Intermediate Expert,False
5f1dd7a9-18b5-400a-a3de-1c30f547235e,uniandes_bouldering_027_19,Early Expert,Novice,Novice,False
c5c4236d-f8ba-4abf-93c7-5440a31160d4,uniandes_bouldering_026_18,Novice,Intermediate Expert,Intermediate Expert,False
2d809aef-9a43-4bae-9657-4b63e24e53d5,uniandes_bouldering_029_40,Novice,Intermediate Expert,Intermediate Expert,False
b843d724-be38-4855-9408-7c5cef73274d,uniandes_bouldering_034_69,Early Expert,Intermediate Expert,Intermediate Expert,False
1191d049-3780-452a-b91d-b04292726dc2,uniandes_bouldering_034_102,Early Expert,Novice,Novice,False
b92ec0ad-020b-4fed-87bf-002eaaa9a8ec,uniandes_bouldering_022_26,Late Expert,Intermediate Expert,Intermediate Expert,False
c0a1397c-211b-4d12-9706-ca536a671f77,uniandes_bouldering_032_32,Late Expert,Intermediate Expert,Intermediate Expert,False
48c635f3-ef0c-436b-94dc-9fca68c779b7,uniandes_bouldering_034_98,Early Expert,Intermediate Expert,Intermediate Expert,False
6129123b-d6c6-4a68-851b-63777cc3d56b,uniandes_bouldering_037_58,Late Expert,Intermediate Expert,Intermediate Expert,False
6f9e874c-829f-45a2-adfb-40e76efa2006,uniandes_bouldering_031_46,Late Expert,Intermediate Expert,Intermediate Expert,False
54b6e544-2272-4568-925b-abf6ddedd223,uniandes_bouldering_027_36,Novice,Novice,Novice,True
8392e60f-6bb0-4e22-9936-5bbdd03f90ac,uniandes_bouldering_033_53,Intermediate Expert,Intermediate Expert,Intermediate Expert,True
33613bf1-9141-4785-900d-ec459dfb8d80,uniandes_bouldering_027_85,Novice,Intermediate Expert,Intermediate Expert,False
