model,activity,trim_condition,frame_count,prompt_type,view,file,n,accuracy,class_breakdown,predicted_distribution,extraction_status
gemini,dance,entire,,fourclass,ego,diss_dance/results/gemini/gemini_dance_entire_fourclass_ego.csv,100,0.21,Novice: 15/25=60.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 6/25=24.0%; Late Expert: 0/25=0.0%,Novice:65; Intermediate Expert:34; Early Expert:1,trusted-clean
gemini,dance,entire,,fourclass,single,diss_dance/results/gemini/gemini_dance_entire_fourclass.csv,100,0.24,Novice: 2/25=8.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 21/25=84.0%; Late Expert: 1/25=4.0%,Intermediate Expert:84; Novice:13; Early Expert:2; Late Expert:1,trusted-clean
gemini,dance,entire,,reasoning,ego,diss_dance/results/gemini/gemini_dance_entire_reasoning_ego.csv,100,0.21,Novice: 14/25=56.0%; Early Expert: 1/25=4.0%; Intermediate Expert: 6/25=24.0%; Late Expert: 0/25=0.0%,Novice:70; Intermediate Expert:22; Unknown:4; Early Expert:4,recomputed
gemini,dance,entire,,reasoning,single,diss_dance/results/gemini/gemini_dance_entire_reasoning.csv,100,0.32,Novice: 7/25=28.0%; Early Expert: 1/25=4.0%; Intermediate Expert: 24/25=96.0%; Late Expert: 0/25=0.0%,Intermediate Expert:81; Novice:15; Early Expert:4,trusted-clean
gemini,dance,entire,,structured,ego,diss_dance/results/gemini/gemini_dance_entire_structured_ego.csv,100,0.27,Novice: 12/25=48.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 15/25=60.0%; Late Expert: 0/25=0.0%,Intermediate Expert:60; Novice:40,trusted-clean
gemini,dance,entire,,structured,single,diss_dance/results/gemini/gemini_dance_entire_structured.csv,100,0.24,Novice: 1/25=4.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 23/25=92.0%; Late Expert: 0/25=0.0%,Intermediate Expert:88; Novice:12,trusted-clean
qwen,climbing,entire,,binary,ego,dissertation_v2/results/qwen/binary_basketball.csv,50,0.24,Late Expert: 0/25=0.0%; Novice: 12/25=48.0%,,trusted-clean
qwen,climbing,entire,,binary,exo,dissertation_v2/results/qwen/binary_basketball.csv,50,0.24,Late Expert: 0/25=0.0%; Novice: 12/25=48.0%,,trusted-clean
qwen,climbing,entire,16,binary,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n16_binary.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,,trusted-clean
qwen,climbing,entire,16,binary,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n16_binary.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,,trusted-clean
qwen,climbing,entire,32,binary,ego,dissertation_v2/results/qwen/binary_n32.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,,trusted-clean
qwen,climbing,entire,32,binary,exo,dissertation_v2/results/qwen/binary_n32.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,,trusted-clean
qwen,climbing,entire,8,binary,ego,dissertation_v2/results/qwen/binary_n8_qwen_ego.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:48; Unknown:2,trusted-clean
qwen,climbing,entire,8,binary,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n8_binary.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,,trusted-clean
qwen,climbing,entire,8,binary,exo,dissertation_v2/results/qwen/binary_n8_qwen_exo.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:48; Unknown:2,trusted-clean
qwen,climbing,entire,8,binary,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n8_binary.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,,trusted-clean
qwen,climbing,trimmed,16,binary,ego,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_ego_n16_binary.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
qwen,climbing,trimmed,16,binary,exo,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_exo_n16_binary.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
qwen,climbing,trimmed,8,binary,ego,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_ego_n8_binary.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
qwen,climbing,trimmed,8,binary,exo,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_exo_n8_binary.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
qwen,climbing,entire,16,fourclass,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n16_fourclass.csv,100,0.25,Novice: 25/25=100.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:98; Intermediate Expert:2,trusted-clean
qwen,climbing,entire,16,fourclass,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n16_fourclass.csv,100,0.27,Novice: 23/25=92.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 4/25=16.0%; Late Expert: 0/25=0.0%,Novice:89; Intermediate Expert:11,trusted-clean
qwen,climbing,entire,8,fourclass,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n8_fourclass.csv,100,0.24,Novice: 23/25=92.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 1/25=4.0%; Late Expert: 0/25=0.0%,Novice:84; Unknown:9; Intermediate Expert:7,trusted-clean
qwen,climbing,entire,8,fourclass,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n8_fourclass.csv,100,0.25,Novice: 22/25=88.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 3/25=12.0%; Late Expert: 0/25=0.0%,Novice:83; Unknown:9; Intermediate Expert:8,trusted-clean
qwen,climbing,trimmed,,fourclass,ego,dissertation_v2/results/qwen/trimmed/fourclass_trimmed.csv,100,0.26,Novice: 24/25=96.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 2/25=8.0%; Late Expert: 0/25=0.0%,Novice:93; Intermediate Expert:5; Unknown:2,trusted-clean
qwen,climbing,trimmed,,fourclass,exo,dissertation_v2/results/qwen/trimmed/fourclass_trimmed.csv,100,0.24,Novice: 22/25=88.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 2/25=8.0%; Late Expert: 0/25=0.0%,Novice:88; Intermediate Expert:10; Unknown:2,trusted-clean
qwen,climbing,entire,16,reasoning,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n16_reasoning.csv,100,0.24,Novice: 24/25=96.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:91; Unknown:9,recomputed
qwen,climbing,entire,16,reasoning,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n16_reasoning.csv,100,0.14,Novice: 6/25=24.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 8/25=32.0%; Late Expert: 0/25=0.0%,Novice:49; Intermediate Expert:36; Unknown:15,recomputed
qwen,climbing,entire,8,reasoning,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n8_reasoning.csv,100,0.24,Novice: 24/25=96.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:90; Unknown:9; Intermediate Expert:1,trusted-clean
qwen,climbing,entire,8,reasoning,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n8_reasoning.csv,100,0.15,Novice: 12/25=48.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 3/25=12.0%; Late Expert: 0/25=0.0%,Novice:70; Intermediate Expert:15; Unknown:14; Late Expert:1,recomputed
qwen,climbing,trimmed,16,reasoning,ego,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n16_reasoning.csv,100,0.23,Novice: 23/25=92.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:89; Unknown:10; Intermediate Expert:1,trusted-clean
qwen,climbing,trimmed,16,reasoning,exo,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n16_reasoning.csv,100,0.1,Novice: 3/25=12.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 7/25=28.0%; Late Expert: 0/25=0.0%,Intermediate Expert:36; Novice:35; Unknown:28; Late Expert:1,recomputed
qwen,climbing,trimmed,8,reasoning,ego,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n8_reasoning.csv,100,0.23,Novice: 23/25=92.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:89; Unknown:10; Intermediate Expert:1,trusted-clean
qwen,climbing,trimmed,8,reasoning,exo,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n8_reasoning.csv,100,0.12,Novice: 7/25=28.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 5/25=20.0%; Late Expert: 0/25=0.0%,Novice:55; Intermediate Expert:29; Unknown:16,recomputed
qwen,climbing,entire,16,structured,ego,dissertation_v2/results/qwen/qwen_climbing_entire_n16_structured.csv,100,0.24,Novice: 13/25=52.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 11/25=44.0%; Late Expert: 0/25=0.0%,Novice:57; Intermediate Expert:42; Unknown:1,trusted-clean
qwen,climbing,entire,16,structured,exo,dissertation_v2/results/qwen/qwen_climbing_entire_n16_structured.csv,100,0.24,Novice: 22/25=88.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 2/25=8.0%; Late Expert: 0/25=0.0%,Novice:87; Intermediate Expert:13,trusted-clean
qwen,climbing,entire,8,structured,ego,dissertation_v2/results/qwen/structured_eval.csv,100,0.19,Novice: 16/25=64.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 3/25=12.0%; Late Expert: 0/25=0.0%,Novice:71; Intermediate Expert:20; Unknown:9,trusted-clean
qwen,climbing,entire,8,structured,exo,dissertation_v2/results/qwen/structured_eval.csv,100,0.24,Novice: 22/25=88.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 2/25=8.0%; Late Expert: 0/25=0.0%,Novice:87; Unknown:9; Intermediate Expert:4,trusted-clean
qwen,climbing,trimmed,16,structured,ego,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n16_structured.csv,100,0.26,Novice: 8/25=32.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 18/25=72.0%; Late Expert: 0/25=0.0%,Intermediate Expert:59; Novice:39; Unknown:2,trusted-clean
qwen,climbing,trimmed,16,structured,exo,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n16_structured.csv,100,0.17,Novice: 9/25=36.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 8/25=32.0%; Late Expert: 0/25=0.0%,Novice:53; Intermediate Expert:40; Unknown:7,trusted-clean
qwen,climbing,trimmed,8,structured,ego,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n8_structured.csv,100,0.19,Novice: 13/25=52.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 6/25=24.0%; Late Expert: 0/25=0.0%,Novice:74; Intermediate Expert:24; Unknown:2,trusted-clean
qwen,climbing,trimmed,8,structured,exo,dissertation_v2/results/qwen/trimmed/qwen_climbing_trimmed_n8_structured.csv,100,0.22,Novice: 18/25=72.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 4/25=16.0%; Late Expert: 0/25=0.0%,Novice:82; Intermediate Expert:15; Unknown:2; Early Expert:1,trusted-clean
qwen,dance,entire,16,binary,ego,diss_dance/results/qwen/qwen_dance_entire_n16_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
qwen,dance,entire,16,binary,exo,diss_dance/results/qwen/qwen_dance_entire_n16_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
qwen,dance,entire,8,binary,ego,diss_dance/results/qwen/qwen_dance_entire_n8_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
qwen,dance,entire,8,binary,exo,diss_dance/results/qwen/qwen_dance_entire_n8_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
qwen,dance,trimmed,16,binary,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
qwen,dance,trimmed,16,binary,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
qwen,dance,trimmed,8,binary,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
qwen,dance,trimmed,8,binary,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_binary.csv,50,0.5,Late Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
qwen,dance,entire,16,fourclass,ego,diss_dance/results/qwen/qwen_dance_entire_n16_fourclass.csv,100,0.25,Novice: 25/25=100.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:100,trusted-clean
qwen,dance,entire,16,fourclass,exo,diss_dance/results/qwen/qwen_dance_entire_n16_fourclass.csv,100,0.33,Novice: 16/25=64.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 17/25=68.0%; Late Expert: 0/25=0.0%,Intermediate Expert:51; Novice:49,trusted-clean
qwen,dance,entire,8,fourclass,ego,diss_dance/results/qwen/qwen_dance_entire_n8_fourclass.csv,100,0.25,Novice: 25/25=100.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:100,trusted-clean
qwen,dance,entire,8,fourclass,exo,diss_dance/results/qwen/qwen_dance_entire_n8_fourclass.csv,100,0.31,Novice: 18/25=72.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 13/25=52.0%; Late Expert: 0/25=0.0%,Novice:61; Intermediate Expert:39,trusted-clean
qwen,dance,trimmed,16,fourclass,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_fourclass.csv,100,0.25,Novice: 25/25=100.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:100,trusted-clean
qwen,dance,trimmed,16,fourclass,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_fourclass.csv,100,0.34,Novice: 16/25=64.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 18/25=72.0%; Late Expert: 0/25=0.0%,Intermediate Expert:55; Novice:45,trusted-clean
qwen,dance,trimmed,8,fourclass,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_fourclass.csv,100,0.25,Novice: 25/25=100.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:100,trusted-clean
qwen,dance,trimmed,8,fourclass,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_fourclass.csv,100,0.32,Novice: 16/25=64.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 16/25=64.0%; Late Expert: 0/25=0.0%,Novice:57; Intermediate Expert:43,trusted-clean
qwen,dance,entire,16,reasoning,ego,diss_dance/results/qwen/qwen_dance_entire_n16_reasoning.csv,100,0.25,Novice: 25/25=100.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:100,trusted-clean
qwen,dance,entire,16,reasoning,exo,diss_dance/results/qwen/qwen_dance_entire_n16_reasoning.csv,100,0.27,Novice: 1/25=4.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 24/25=96.0%; Late Expert: 2/25=8.0%,Intermediate Expert:94; Late Expert:4; Novice:2,recomputed
qwen,dance,entire,8,reasoning,ego,diss_dance/results/qwen/qwen_dance_entire_n8_reasoning.csv,100,0.25,Novice: 25/25=100.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:99; Unknown:1,recomputed
qwen,dance,entire,8,reasoning,exo,diss_dance/results/qwen/qwen_dance_entire_n8_reasoning.csv,100,0.32,Novice: 13/25=52.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 19/25=76.0%; Late Expert: 0/25=0.0%,Intermediate Expert:63; Novice:35; Unknown:1; Late Expert:1,recomputed
qwen,dance,trimmed,16,reasoning,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_reasoning.csv,100,0.25,Novice: 25/25=100.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:100,trusted-clean
qwen,dance,trimmed,16,reasoning,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_reasoning.csv,100,0.27,Novice: 1/25=4.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 25/25=100.0%; Late Expert: 1/25=4.0%,Intermediate Expert:95; Novice:3; Late Expert:2,recomputed
qwen,dance,trimmed,8,reasoning,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_reasoning.csv,100,0.25,Novice: 25/25=100.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:100,trusted-clean
qwen,dance,trimmed,8,reasoning,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_reasoning.csv,100,0.28,Novice: 12/25=48.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 15/25=60.0%; Late Expert: 1/25=4.0%,Intermediate Expert:53; Novice:43; Late Expert:4,recomputed
qwen,dance,entire,16,structured,ego,diss_dance/results/qwen/qwen_dance_entire_n16_structured.csv,100,0.23,Novice: 14/25=56.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 9/25=36.0%; Late Expert: 0/25=0.0%,Novice:62; Intermediate Expert:35; Unknown:2; Late Expert:1,trusted-clean
qwen,dance,entire,16,structured,exo,diss_dance/results/qwen/qwen_dance_entire_n16_structured.csv,100,0.41,Novice: 22/25=88.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 19/25=76.0%; Late Expert: 0/25=0.0%,Intermediate Expert:57; Novice:43,trusted-clean
qwen,dance,entire,8,structured,ego,diss_dance/results/qwen/qwen_dance_entire_n8_structured.csv,100,0.25,Novice: 20/25=80.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 5/25=20.0%; Late Expert: 0/25=0.0%,Novice:79; Intermediate Expert:19; Unknown:2,trusted-clean
qwen,dance,entire,8,structured,exo,diss_dance/results/qwen/qwen_dance_entire_n8_structured.csv,100,0.32,Novice: 15/25=60.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 17/25=68.0%; Late Expert: 0/25=0.0%,Intermediate Expert:61; Novice:37; Unknown:2,trusted-clean
qwen,dance,trimmed,16,structured,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_structured.csv,100,0.28,Novice: 20/25=80.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 8/25=32.0%; Late Expert: 0/25=0.0%,Novice:62; Intermediate Expert:34; Unknown:4,trusted-clean
qwen,dance,trimmed,16,structured,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n16_structured.csv,100,0.39,Novice: 17/25=68.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 22/25=88.0%; Late Expert: 0/25=0.0%,Intermediate Expert:71; Novice:29,trusted-clean
qwen,dance,trimmed,8,structured,ego,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_structured.csv,100,0.24,Novice: 19/25=76.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 5/25=20.0%; Late Expert: 0/25=0.0%,Novice:74; Intermediate Expert:24; Late Expert:1; Unknown:1,trusted-clean
qwen,dance,trimmed,8,structured,exo,diss_dance/results/qwen/trimmed/qwen_dance_trimmed_n8_structured.csv,100,0.35,Novice: 17/25=68.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 17/25=68.0%; Late Expert: 1/25=4.0%,Intermediate Expert:60; Novice:38; Late Expert:1; Unknown:1,trusted-clean
videollava,climbing,entire,16,binary,ego,dissertation_v2/results/videollava/vl_climbing_entire_n16_binary.csv,50,0.32,Expert: 4/25=16.0%; Novice: 12/25=48.0%,,trusted-clean
videollava,climbing,entire,16,binary,exo,dissertation_v2/results/videollava/vl_climbing_entire_n16_binary.csv,50,0.76,Expert: 16/25=64.0%; Novice: 22/25=88.0%,,trusted-clean
videollava,climbing,entire,32,binary,ego,dissertation_v2/results/videollava/binary_n32.csv,50,0.0,Expert: 0/25=0.0%; Novice: 0/25=0.0%,,trusted-clean
videollava,climbing,entire,32,binary,exo,dissertation_v2/results/videollava/binary_n32.csv,50,0.0,Expert: 0/25=0.0%; Novice: 0/25=0.0%,,trusted-clean
videollava,climbing,entire,8,binary,ego,dissertation_v2/results/videollava/vl_climbing_entire_n8_binary.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,,trusted-clean
videollava,climbing,entire,8,binary,exo,dissertation_v2/results/videollava/vl_climbing_entire_n8_binary.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,,trusted-clean
videollava,climbing,trimmed,16,binary,ego,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_ego_n16_binary.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
videollava,climbing,trimmed,16,binary,exo,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_exo_n16_binary.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
videollava,climbing,trimmed,8,binary,ego,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_ego_n8_binary.csv,50,0.5,Expert: 0/25=0.0%; Novice: 25/25=100.0%,Novice:50,trusted-clean
videollava,climbing,trimmed,8,binary,exo,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_exo_n8_binary.csv,50,0.6,Expert: 5/25=20.0%; Novice: 25/25=100.0%,Novice:45; Expert:5,trusted-clean
videollava,climbing,entire,8,fourclass,ego,dissertation_v2/results/videollava/vl_climbing_entire_n8_fourclass.csv,100,0.24,Novice: 24/25=96.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:91; Unknown:9,trusted-clean
videollava,climbing,entire,8,fourclass,exo,dissertation_v2/results/videollava/vl_climbing_entire_n8_fourclass.csv,100,0.24,Novice: 24/25=96.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:91; Unknown:9,trusted-clean
videollava,climbing,trimmed,16,fourclass,ego,dissertation_v2/results/videollava/trimmed/fourclass_n16.csv,100,0.02,Novice: 2/25=8.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Unknown:95; Novice:5,trusted-clean
videollava,climbing,trimmed,16,fourclass,exo,dissertation_v2/results/videollava/trimmed/fourclass_n16.csv,100,0.02,Novice: 2/25=8.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Unknown:83; Novice:17,trusted-clean
videollava,climbing,trimmed,8,fourclass,ego,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_n8_fourclass.csv,100,0.24,Novice: 24/25=96.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 0/25=0.0%,Novice:98; Unknown:2,trusted-clean
videollava,climbing,trimmed,8,fourclass,exo,dissertation_v2/results/videollava/trimmed/vl_climbing_trimmed_n8_fourclass.csv,100,0.25,Novice: 22/25=88.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 0/25=0.0%; Late Expert: 3/25=12.0%,Novice:91; Late Expert:7; Unknown:2,trusted-clean
videollava,climbing,entire,8,reasoning,ego,dissertation_v2/results/videollava/reasoning_n8_test03.csv,100,0.14,Novice: 1/25=4.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 10/25=40.0%; Late Expert: 3/25=12.0%,Unknown:50; Intermediate Expert:39; Late Expert:7; Novice:3; Early Expert:1,recomputed
videollava,climbing,entire,8,reasoning,ego,dissertation_v2/results/videollava/vl_climbing_entire_n8_reasoning.csv,100,0.13,Novice: 1/25=4.0%; Early Expert: 0/25=0.0%; Intermediate Expert: 10/25=40.0%; Late Expert: 2/25=8.0%,Unknown:47; Intermediate Expert:41; Late Expert:6; Novice:4; Early Expert:2,recomputed
